9.081654847370e-01+1.996960945185e-01j; 1.568182067853e-01+1.153926390794e-01j; 1.477357256380e-01-7.641472482317e-02j; 9.039401850540e-01+2.013620295452e-01j
9.090553778464e-01+1.916560233760e-01j; 1.573234389286e-01+1.159329014713e-01j; 1.482594755799e-01-7.645739201425e-02j; 9.021478423630e-01+2.033987023496e-01j
9.099254487435e-01+1.835322196687e-01j; 1.578656353524e-01+1.165016980702e-01j; 1.487961049376e-01-7.650535566231e-02j; 9.003704628557e-01+2.053319583584e-01j
9.107731561859e-01+1.753280707595e-01j; 1.584435525331e-01+1.170982309493e-01j; 1.493451596246e-01-7.655832547028e-02j; 8.986095374172e-01+2.071614207682e-01j
9.115960432632e-01+1.670470170702e-01j; 1.590558799520e-01+1.177216475040e-01j; 1.499061713032e-01-7.661600677858e-02j; 8.968665189641e-01+2.088867692277e-01j
9.123917419770e-01+1.586925507707e-01j; 1.597012426633e-01+1.183710419829e-01j; 1.504786578752e-01-7.667810091457e-02j; 8.951428208124e-01+2.105077386154e-01j
9.131579776581e-01+1.502682143103e-01j; 1.603782039844e-01+1.190454571244e-01j; 1.510621239877e-01-7.674430554509e-02j; 8.934398151365e-01+2.120241177926e-01j
9.138925732122e-01+1.417775987940e-01j; 1.610852682998e-01+1.197438858939e-01j; 1.516560615545e-01-7.681431503165e-02j; 8.917588315228e-01+2.134357483358e-01j
9.145934531871e-01+1.332243422087e-01j; 1.618208839756e-01+1.204652733204e-01j; 1.522599502914e-01-7.688782078784e-02j; 8.901011556170e-01+2.147425232536e-01j
9.152586476519e-01+1.246121275014e-01j; 1.625834463774e-01+1.212085184288e-01j; 1.528732582660e-01-7.696451163863e-02j; 8.884680278673e-01+2.159443856910e-01j
9.158862958821e-01+1.159446805172e-01j; 1.633713009873e-01+1.219724762631e-01j; 1.534954424599e-01-7.704407418107e-02j; 8.868606423624e-01+2.170413276263e-01j
